"row_type","path","bytes","sha256","functional_block","current_responsibility","authority_or_owner","phase3_target_destination","phase4_classification","phase4_evidence","characterization_state","compatibility_obligation","current_or_future_action","expected_successor","coverage_mode","block_level_invariant_reference","notes","protected_contract_behavior","target_test_taxonomy","characterization_role","associated_production_block","migration_relevance","future_action","compatibility_migration_protection","support_class","sub_responsibility","reads_or_depends_on","writes_or_controls","runtime_or_regression_protection","migration_prerequisite","protected_contract_or_behavior","test_taxonomy","compatibility_or_migration_role","phase4_relevance","future_migration_relevance","active_or_support_status","phase_coverage","unique_surface_analysis"
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/app_podesavanja_table.dart","927","C36027EE475FA963F7860F5F6F1B0EA63ECBF74AB22ECE8B8F48DACEE1997072","infrastructure persistence / database","Declares the Drift table for app podesavanja table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/app_podesavanja_table.dart (927 bytes; SHA-256 C36027EE475FA963F7860F5F6F1B0EA63ECBF74AB22ECE8B8F48DACEE1997072).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/app_podesavanja_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: app podesavanja table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/firma_podaci_table.dart","950","E1EF36140C0D6F0F74712B178BAF6DE673244D1963FE77787058A47634DD4316","infrastructure persistence / database","Declares the Drift table for firma podaci table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/firma_podaci_table.dart (950 bytes; SHA-256 E1EF36140C0D6F0F74712B178BAF6DE673244D1963FE77787058A47634DD4316).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/firma_podaci_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: firma podaci table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/iriu_katalog_config_table.dart","1271","4A475BD7E617AD770B08A4B66925BA839908DF611C7D5CCAD51F80C368361E36","infrastructure persistence / database","Declares the Drift table for iriu katalog config table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/iriu_katalog_config_table.dart (1271 bytes; SHA-256 4A475BD7E617AD770B08A4B66925BA839908DF611C7D5CCAD51F80C368361E36).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/iriu_katalog_config_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: iriu katalog config table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/iriu_provenance_table.dart","756","764346A2A6473F2F67C9961224D7E9699BC091140F77E44A02E70603FB60BDA7","infrastructure persistence / database","Declares the Drift table for iriu provenance table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/iriu_provenance_table.dart (756 bytes; SHA-256 764346A2A6473F2F67C9961224D7E9699BC091140F77E44A02E70603FB60BDA7).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/iriu_provenance_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: iriu provenance table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/iriu_table.dart","2591","596A994C08D290B3E1C22EB7F7C10855FEECC68577C11034EA03E638FD7CAECD","infrastructure persistence / database","Declares the Drift table for iriu table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/iriu_table.dart (2591 bytes; SHA-256 596A994C08D290B3E1C22EB7F7C10855FEECC68577C11034EA03E638FD7CAECD).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/iriu_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: iriu table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/katalog_artikli_table.dart","660","B54EE24162487D087DD9443AA96B32F9F753D7A18CB950028AA263F4598491B7","infrastructure persistence / database","Declares the Drift table for katalog artikli table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/katalog_artikli_table.dart (660 bytes; SHA-256 B54EE24162487D087DD9443AA96B32F9F753D7A18CB950028AA263F4598491B7).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/katalog_artikli_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: katalog artikli table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/kontakt_lica_table.dart","674","23E4E9272D216D00434636D4BE55B34671E8C00FECDBB9F351E48F4EC6CE0429","infrastructure persistence / database","Declares the Drift table for kontakt lica table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/kontakt_lica_table.dart (674 bytes; SHA-256 23E4E9272D216D00434636D4BE55B34671E8C00FECDBB9F351E48F4EC6CE0429).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/kontakt_lica_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: kontakt lica table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/korisnici_table.dart","384","B35FA5B5243D04A701BFC3A78ADF55F2840945EC81DB384397C27E0F87A98AE7","infrastructure persistence / database","Declares the Drift table for korisnici table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/korisnici_table.dart (384 bytes; SHA-256 B35FA5B5243D04A701BFC3A78ADF55F2840945EC81DB384397C27E0F87A98AE7).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/korisnici_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: korisnici table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/log_izmena_table.dart","526","D44F4998143E41FD240B920A6A5229E999FA57474EA54CE06C7B4DAC64469D6C","infrastructure persistence / database","Declares the Drift table for log izmena table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/log_izmena_table.dart (526 bytes; SHA-256 D44F4998143E41FD240B920A6A5229E999FA57474EA54CE06C7B4DAC64469D6C).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/log_izmena_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: log izmena table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/parte_predlosci_table.dart","627","DDC21A4B0E84B8479B93EE94EDFD12F97490C02C8747B1ACF1140E3CCE3E2777","infrastructure persistence / database","Declares the Drift table for parte predlosci table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/parte_predlosci_table.dart (627 bytes; SHA-256 DDC21A4B0E84B8479B93EE94EDFD12F97490C02C8747B1ACF1140E3CCE3E2777).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/parte_predlosci_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: parte predlosci table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/parte_pripreme_table.dart","1912","3D87A9C15AF816EB1CEA3739EED548D493C77FFBBCA2626184E5FBD4705ABFD6","infrastructure persistence / database","Declares the Drift table for parte pripreme table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/parte_pripreme_table.dart (1912 bytes; SHA-256 3D87A9C15AF816EB1CEA3739EED548D493C77FFBBCA2626184E5FBD4705ABFD6).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/parte_pripreme_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: parte pripreme table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/predlosci_dokumenata_table.dart","777","C76207B8628478419FFB86DBD80F5A137E29E2CAA59CEBF809A9C36A0F55E0B4","infrastructure persistence / database","Declares the Drift table for predlosci dokumenata table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/predlosci_dokumenata_table.dart (777 bytes; SHA-256 C76207B8628478419FFB86DBD80F5A137E29E2CAA59CEBF809A9C36A0F55E0B4).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/predlosci_dokumenata_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: predlosci dokumenata table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/predmeti_table.dart","12458","817DAC0F56A02F48F1F86BDCA7FD4B57F66D72CF8A10052DCEEA62B7F2901A4D","infrastructure persistence / database","Declares the Drift table for predmeti table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/predmeti_table.dart (12458 bytes; SHA-256 817DAC0F56A02F48F1F86BDCA7FD4B57F66D72CF8A10052DCEEA62B7F2901A4D).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/predmeti_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: predmeti table","no local project import; framework/primitive boundary","controls persistence schema/table shape","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/tables/predmet_scenario_snapshots_table.dart","804","4B2418220FDCDD447D3562B2C199631AFFBE9739852E6B79DE3C575553DFC33C","infrastructure persistence / database","Declares the Drift table for predmet scenario snapshots table persistence records.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/tables/predmet_scenario_snapshots_table.dart (804 bytes; SHA-256 4B2418220FDCDD447D3562B2C199631AFFBE9739852E6B79DE3C575553DFC33C).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/tables/predmet_scenario_snapshots_table.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","persistence table: predmet scenario snapshots table","no local project import; framework/primitive boundary","controls persistence schema/table shape","locked SCENARIO tests, golden fixtures and runtime contracts","explicit SCENARIO unlock only; otherwise none","","","","","","","",""
