"predecessor_path","target_path","category","predecessor_sha256","target_sha256","disposition","evidence_rationale"
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\database.g.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\database.g.dart","A","32EF75932C6265510C160E35DDEE203A3C8C1AB70877706DE68155D192F664CA","32EF75932C6265510C160E35DDEE203A3C8C1AB70877706DE68155D192F664CA","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\tables\citulje_pripreme_table.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\tables\citulje_pripreme_table.dart","A","97C313F6AD4CB3FB9AFE0242A901A2C77037C93F7DC6FFCE8EE68804E0EDCA2A","97C313F6AD4CB3FB9AFE0242A901A2C77037C93F7DC6FFCE8EE68804E0EDCA2A","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\tables\iriu_table.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\tables\iriu_table.dart","A","03019052AD94A549A01BB9FE4E1395F953A265000228313E037F0AF4E4A5D90A","03019052AD94A549A01BB9FE4E1395F953A265000228313E037F0AF4E4A5D90A","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\tables\podsetnik_obaveze_table.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\tables\podsetnik_obaveze_table.dart","A","51A185DDE818A1BA566EAF399CF4E9D89866604496DBBCBBE248A96EDEBC2512","51A185DDE818A1BA566EAF399CF4E9D89866604496DBBCBBE248A96EDEBC2512","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\tables\predmeti_table.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\tables\predmeti_table.dart","A","EAD853C366F8D46F0471F08FAAC5CD7CE0A5120CD1913F0AADA1A170622E1AEE","EAD853C366F8D46F0471F08FAAC5CD7CE0A5120CD1913F0AADA1A170622E1AEE","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\entitlements\opc_entitlement_policy.dart","C:\Projekti\OPC_v1.5\source\lib\core\entitlements\opc_entitlement_policy.dart","A","883085A603E61DB41297B59B2F2CC5760BE5AB3DF3BAA9B0B9E91BA472224D4B","883085A603E61DB41297B59B2F2CC5760BE5AB3DF3BAA9B0B9E91BA472224D4B","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\json_transfer\iriu_json_compat.dart","C:\Projekti\OPC_v1.5\source\lib\core\json_transfer\iriu_json_compat.dart","A","6115EED5E1B7CE377663460491BA012827A69070BEE326820459AB67F47413CD","6115EED5E1B7CE377663460491BA012827A69070BEE326820459AB67F47413CD","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\json_transfer\predmet_json_transfer_core.dart","C:\Projekti\OPC_v1.5\source\lib\core\json_transfer\predmet_json_transfer_core.dart","A","EE8D472852A2A8A8DCF96AEAB74173FDFF1B5A7BAA26443755CE6506CDA64D40","EE8D472852A2A8A8DCF96AEAB74173FDFF1B5A7BAA26443755CE6506CDA64D40","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\utils\json_export_import.dart","C:\Projekti\OPC_v1.5\source\lib\core\utils\json_export_import.dart","A","A0D289A1F1831AF42BC951E7BF4BE0EBF85A9B10FF7D2786F9BCFB221CA389CC","A0D289A1F1831AF42BC951E7BF4BE0EBF85A9B10FF7D2786F9BCFB221CA389CC","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\utils\stable_id_generator.dart","C:\Projekti\OPC_v1.5\source\lib\core\utils\stable_id_generator.dart","A","0C6EACF7F8CD402D658A0CDE7822395FADF130A77FD55A18CE314A64C19D07B0","0C6EACF7F8CD402D658A0CDE7822395FADF130A77FD55A18CE314A64C19D07B0","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\auth\domain\session_service.dart","C:\Projekti\OPC_v1.5\source\lib\features\auth\domain\session_service.dart","A","0428E10298CBAFBA83201B7AE8FC38525C1DCEF507888EA36C3A36A27E4B1071","0428E10298CBAFBA83201B7AE8FC38525C1DCEF507888EA36C3A36A27E4B1071","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\podesavanja\presentation\podesavanja_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\podesavanja\presentation\podesavanja_screen.dart","A","3CB6856A8E61F79F8016B4E05D5EF44D7424EC1A70FABC6C31F8CEA4E8CA7A14","3CB6856A8E61F79F8016B4E05D5EF44D7424EC1A70FABC6C31F8CEA4E8CA7A14","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\podsetnik\data\podsetnik_obligation_repository.dart","C:\Projekti\OPC_v1.5\source\lib\features\podsetnik\data\podsetnik_obligation_repository.dart","A","CB55FE380D17826E336E252349BBF2CA9443ECB7F607BD800F465AD673FDB821","CB55FE380D17826E336E252349BBF2CA9443ECB7F607BD800F465AD673FDB821","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\podsetnik\domain\podsetnik_obligation_transfer.dart","C:\Projekti\OPC_v1.5\source\lib\features\podsetnik\domain\podsetnik_obligation_transfer.dart","A","E71E1140FF0DC7A005B8C091203CD80B240AFA6CA021BB22DBE4082A487080B6","E71E1140FF0DC7A005B8C091203CD80B240AFA6CA021BB22DBE4082A487080B6","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\podsetnik\domain\podsetnik_obligation.dart","C:\Projekti\OPC_v1.5\source\lib\features\podsetnik\domain\podsetnik_obligation.dart","A","8516F65A36E273AAB38527718D55C7DD22743AA42ABAA547BA31525D7E46CC9C","8516F65A36E273AAB38527718D55C7DD22743AA42ABAA547BA31525D7E46CC9C","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\podsetnik\presentation\podsetnik_module_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\podsetnik\presentation\podsetnik_module_screen.dart","A","6C87FF075EB8A00CBA2E074500F0BA1CF689B1C31061604299A4D67B42152497","6C87FF075EB8A00CBA2E074500F0BA1CF689B1C31061604299A4D67B42152497","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\application\full_backup_restore_coordinator.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\application\full_backup_restore_coordinator.dart","A","AE945274CB574B56C8982F24BCE1DEEAC1DC6BDA51A79A5C81EC71DAB5FB45DB","AE945274CB574B56C8982F24BCE1DEEAC1DC6BDA51A79A5C81EC71DAB5FB45DB","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\application\predmet_hard_delete_coordinator.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\application\predmet_hard_delete_coordinator.dart","A","96172E6CF55A1812B284633304DEE8EE22122F25F82BFBFAE46E6A4326CB4354","96172E6CF55A1812B284633304DEE8EE22122F25F82BFBFAE46E6A4326CB4354","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\data\citulje_preparation_repository.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\data\citulje_preparation_repository.dart","A","12649657EEE5C541909EE6E1D99F351F4660C498482D43820988617822CA7E4F","12649657EEE5C541909EE6E1D99F351F4660C498482D43820988617822CA7E4F","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\data\parte_confirmed_text_adapter.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\data\parte_confirmed_text_adapter.dart","A","744D258CC7AEC5A369FA78D10A3CDDC907A4FE1D457275964034C3E92C40F233","744D258CC7AEC5A369FA78D10A3CDDC907A4FE1D457275964034C3E92C40F233","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\domain\citulje_concrete_format_projection.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\domain\citulje_concrete_format_projection.dart","A","F7583CD00BEB105116078BB4474DE999C5AAE7B33BFABD60D10FDDB36C032900","F7583CD00BEB105116078BB4474DE999C5AAE7B33BFABD60D10FDDB36C032900","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\domain\citulje_models.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\domain\citulje_models.dart","A","C9688BC88D4790E71BE79EFFF34A0067E02795999E0F77B042EF8C9D9F859BEE","C9688BC88D4790E71BE79EFFF34A0067E02795999E0F77B042EF8C9D9F859BEE","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\pdf\citulja_pdf_export.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\pdf\citulja_pdf_export.dart","A","B06CE7303C6AD9420B9F9AD8DDFACD5212090DF1ABFB23395D30F03A0EA34E89","B06CE7303C6AD9420B9F9AD8DDFACD5212090DF1ABFB23395D30F03A0EA34E89","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\citulje\presentation\citulje_module_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\citulje\presentation\citulje_module_screen.dart","A","50497E962BB765581E5699E5E27ECA5870D48F994DF3E4B54F1470BC7A7BA8A7","50497E962BB765581E5699E5E27ECA5870D48F994DF3E4B54F1470BC7A7BA8A7","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\data\iriu_repository.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\data\iriu_repository.dart","A","8F08B1F2C4D15F95BFEA5CECC63EF5940D39FB0E0D0C26E11797F4BC6D6195E3","8F08B1F2C4D15F95BFEA5CECC63EF5940D39FB0E0D0C26E11797F4BC6D6195E3","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\data\predmeti_repository.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\data\predmeti_repository.dart","A","00C3C00FA4B1D89432CFAA509E76F96A786358F497435B5999E780F380404A24","00C3C00FA4B1D89432CFAA509E76F96A786358F497435B5999E780F380404A24","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\pdf\lista_pdf_data_builder.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\pdf\lista_pdf_data_builder.dart","A","79F61C8CCC81E309673D9C7C6B73EE63193A38378856000C5209BF875D8091CB","79F61C8CCC81E309673D9C7C6B73EE63193A38378856000C5209BF875D8091CB","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\pdf\lista_pdf_export.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\pdf\lista_pdf_export.dart","A","49163E7A2DD19E6683F3D7B02DAE68F7A76B85A593818B0D5A1AC578B0AE23F6","49163E7A2DD19E6683F3D7B02DAE68F7A76B85A593818B0D5A1AC578B0AE23F6","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\pdf\nalog_cvecari_pdf_export.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\pdf\nalog_cvecari_pdf_export.dart","A","00A5C4A787F865FDF9288ADF0C2E63E9114CA915A9A35933C90367409B5275DA","00A5C4A787F865FDF9288ADF0C2E63E9114CA915A9A35933C90367409B5275DA","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\pdf\nalog_za_opremanje_pdf_export.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\pdf\nalog_za_opremanje_pdf_export.dart","A","20DCD3DF1F42B9866019B285BE56314FCDB6B100C904BF280BF2D60717C70A75","20DCD3DF1F42B9866019B285BE56314FCDB6B100C904BF280BF2D60717C70A75","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\pdf\opc_pdf_shared.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\pdf\opc_pdf_shared.dart","A","DC20D2DE9F3A6DDBF14D17A4B5C690F1C9AA4942E0BD16A774C9665DDFB5550D","DC20D2DE9F3A6DDBF14D17A4B5C690F1C9AA4942E0BD16A774C9665DDFB5550D","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\presentation\lista_predmeta_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\presentation\lista_predmeta_screen.dart","A","049426B5A193BD1C5840FA809DA4B08885EAB6B742F784711DCB4282F3033DDB","049426B5A193BD1C5840FA809DA4B08885EAB6B742F784711DCB4282F3033DDB","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\presentation\moduli_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\presentation\moduli_screen.dart","A","4EB8466C06C1AD8FDAEC64AD6CB7A16AA620505D381F931D705B59ABEB929B2E","4EB8466C06C1AD8FDAEC64AD6CB7A16AA620505D381F931D705B59ABEB929B2E","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\presentation\predmet_screen.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\presentation\predmet_screen.dart","A","78D9E9FEB325BD787A4AC4555B13782FC8EE2F47A222DF21C523A760CC14A654","78D9E9FEB325BD787A4AC4555B13782FC8EE2F47A222DF21C523A760CC14A654","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\presentation\segments\ceremonija_segment.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\presentation\segments\ceremonija_segment.dart","A","3393F8C1C9D421F68653030013A65CD3BDB91889014E8DCA9D10AD896D33C6B4","3393F8C1C9D421F68653030013A65CD3BDB91889014E8DCA9D10AD896D33C6B4","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\presentation\segments\iriu_segment.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\presentation\segments\iriu_segment.dart","A","0B2FB88DA67D712AA61DC2C8CA2C1A53C55A28C8F94B089FB7F5D4FAEB98672C","0B2FB88DA67D712AA61DC2C8CA2C1A53C55A28C8F94B089FB7F5D4FAEB98672C","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\ceremony_notification_gateway.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\ceremony_notification_gateway.dart","A","892B132679C52FB093D1CD43DA1FCBC09B5136F595042D5D218889C153DFEBA9","892B132679C52FB093D1CD43DA1FCBC09B5136F595042D5D218889C153DFEBA9","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\ceremony_reminder_coordinator.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\ceremony_reminder_coordinator.dart","A","AA05A1D1BC2F25D076276F0D4399616E20615F1AD41B5BB8856E921F5F2BB40D","AA05A1D1BC2F25D076276F0D4399616E20615F1AD41B5BB8856E921F5F2BB40D","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\ceremony_reminder_model.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\ceremony_reminder_model.dart","A","EAE353AB2F54C2D4A55F644EFA8E44958D37DEED3B5593241C1C8732A9AC17C8","EAE353AB2F54C2D4A55F644EFA8E44958D37DEED3B5593241C1C8732A9AC17C8","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\ceremony_reminder_repository.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\ceremony_reminder_repository.dart","A","EBA2B7498CAD51FC3CC9B981D05EDE72E4AE793D61E304D8B9D1967A1835CF99","EBA2B7498CAD51FC3CC9B981D05EDE72E4AE793D61E304D8B9D1967A1835CF99","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\ceremony_reminder_text.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\ceremony_reminder_text.dart","A","4C912661E533E1BFA6EAFB3B404BE840FA947AF01D89EC9D42AA18C81D290A56","4C912661E533E1BFA6EAFB3B404BE840FA947AF01D89EC9D42AA18C81D290A56","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\podsetnik_eligibility.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\podsetnik_eligibility.dart","A","879110DCB95BAEC30F71EA8F96E7AD123DA61053CE2D4A5E3EADCF7A9B715DB9","879110DCB95BAEC30F71EA8F96E7AD123DA61053CE2D4A5E3EADCF7A9B715DB9","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\reminder_mvp_service.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\reminder_mvp_service.dart","A","43B0CF2DDBEE84405C9264D4B4B14EB0CB2CA7A73EBE9A5F6C5F5CE337FA9A06","43B0CF2DDBEE84405C9264D4B4B14EB0CB2CA7A73EBE9A5F6C5F5CE337FA9A06","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\features\predmeti\reminders\urna_ashes_reminder_model.dart","C:\Projekti\OPC_v1.5\source\lib\features\predmeti\reminders\urna_ashes_reminder_model.dart","A","4F65E9A2D3EFCBCAA67F58307BB5853EED6C96766CF2C6FC03D917E9A73EC0A3","4F65E9A2D3EFCBCAA67F58307BB5853EED6C96766CF2C6FC03D917E9A73EC0A3","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\pubspec.yaml","C:\Projekti\OPC_v1.5\source\pubspec.yaml","D","08307F20CF6A1280262DB8F851AF297DEA192DA5E7E16133B8CBDC5168CAF60F","08307F20CF6A1280262DB8F851AF297DEA192DA5E7E16133B8CBDC5168CAF60F","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; D path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\test\canonical_database_migration_recovery_test.dart","C:\Projekti\OPC_v1.5\source\test\canonical_database_migration_recovery_test.dart","B","C1473C92BFE0AF9EE72E911A8A4C8E894CFD56F1A8698EEBCC55D319CE02CC52","C1473C92BFE0AF9EE72E911A8A4C8E894CFD56F1A8698EEBCC55D319CE02CC52","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; B path; byte/hash equality verified before QA."
