"control_id","subject","type","source_or_path","authority_source","originating_state","first_phase","phase1_status","phase1_evidence","phase2_status","phase2_evidence","phase3_status","phase3_evidence","phase4_status","phase4_evidence","current_status","classification","closure_state","unresolved_dependency","owner_gate","next_action","expected_future_phase_task","closure_proof","superseded_by","notes"
"PSC-011","KATALOG ownership and pipeline","functional","lib/features/podesavanja/presentation/katalog_tab.dart; core/catalog; iRIU pipeline","KATALOG reports; Phase 3 contracts","KATALOG UI/data/pipeline responsibilities not decomposed","Phase 1","SUPPORTING","KATALOG reports","RECONCILED","Phase 2 current reality","TARGET MAPPED","Phase 3 building blocks/contracts","COVERED WITH DEPTH CHECK","Identity, import, pricing, provenance and UI rows verified","OPEN — SUCCESSOR ASSIGNED","CONTROLLED GAP","OPEN — FORWARD ACTION","Characterize import/provenance/price edge cases","Owner gate for business policy changes","Run KATALOG acceptance matrix before migration","KATALOG acceptance matrix","KATALOG depth check and source rows","None","No major-module label used as proof"
"PSC-012","OSNOVNI PAKET and entitlement policy","functional/policy","lib/core/entitlements/**; settings and package docs","Engineering Profile; owner-gated product semantics","Entitlement/policy physical ownership needed alignment","Phase 1","DOCUMENTED","Policy docs","RECONCILED","Phase 2 package claims","TARGET MAPPED","Phase 3 policy/finance block","COVERED WITH OWNER GATE","Package semantics remain owner-gated","OWNER-GATED — SUCCESSOR ASSIGNED","OWNER GATE","OPEN — FORWARD ACTION","Owner decision only for product/package meaning","Owner/business authority","Record owner decision before changing policy semantics","Owner decision task before implementation","Phase 3 data ownership/ADR plus entitlement source rows","None","Technical coverage does not decide business meaning"
"PSC-013","PARTE state/UI/media/PDF/DOCX/print/JSON/DB/platform","functional/depth","lib/features/predmeti/parte/**; pdf/**; DB parte tables; tests; platform export","PARTE reports, current SOURCE, Phase 3 contracts","PARTE was historically treated as one module","Phase 1","SUPPORTING","PARTE docs","RECONCILED","Phase 2 pseudocode","TARGET MAPPED","Phase 3 feature block","DECOMPOSED DEPTH CHECK","State, authorization, media, templates, PDF/DOCX, print, JSON, DB and platform seams individually mapped","OPEN — SUCCESSOR ASSIGNED","COVERAGE/CHARACTERIZATION GAP","OPEN — FORWARD ACTION","Build PARTE acceptance and compatibility matrix","None","Execute PARTE characterization per sub-responsibility","PARTE characterization/acceptance wave","PARTE depth matrix in completeness report","None","Depth check prevents module-label false closure"
"PSC-014","STANJE ROBE derived state and effects","functional/data","lib/features/stanje_robe/**; DB stanje tables; PREDMET callers; tests","Phase 3 PODSETNIK/data ownership boundary; current SOURCE","Derived reminder/stock state versus business source facts","Phase 1","SUPPORTING","Stock/reminder docs","RECONCILED","Phase 2 current reality","TARGET MAPPED","Phase 3 ownership matrix","DECOMPOSED DEPTH CHECK","Lifecycle, availability, effects, consequences, tables and callers mapped","OPEN — SUCCESSOR ASSIGNED","CONTROLLED GAP","OPEN — FORWARD ACTION","Characterize derived-state rebuild and source-of-truth boundaries","Owner gate if signal/business meaning changes","Run STANJE ROBE derived-state/recovery characterization","STANJE ROBE derived-state characterization","STANJE ROBE depth check plus source rows","None","PREDMET owns source facts; derived state may be local"
"PSC-015","Reminder scheduling/delivery/confirmation","functional/data","lib/features/predmeti/reminders/**; podsetnik module; tests","Phase 3 data ownership matrix; owner-gated signal taxonomy","Reminder state and signal meaning can be conflated","Phase 1","SUPPORTING","Reminder docs","RECONCILED","Phase 2 pseudocode","BOUNDARY DEFINED","Phase 3 PODSETNIK provisional boundary","OWNER-GATED — SUCCESSOR ASSIGNED","Derived scheduling/delivery/confirmation covered; signal taxonomy unresolved","OWNER-GATED","OWNER GATE","OPEN — FORWARD ACTION","Approve signal taxonomy/business meaning","Owner/business authority","Obtain owner decision on taxonomy before policy implementation","Owner decision task","Phase 3 PODSETNIK boundary and source rows","None","No premature master owner for unresolved signal semantics"
"PSC-016","Authentication/users/recovery","functional/security","lib/features/auth/**; users table; auth tests","Auth security repository and recovery reports","Auth paths span data/domain/presentation","Phase 1","DOCUMENTED","Auth reports","RECONCILED","Phase 2 current state","TARGET MAPPED","Phase 3 target blocks","BOUNDED CHARACTERIZATION","Current auth lanes mapped; recovery proof remains acceptance work","OPEN — SUCCESSOR ASSIGNED","CHARACTERIZATION GAP","OPEN — FORWARD ACTION","Execute auth recovery and security acceptance characterization","Security/release acceptance","Run auth recovery acceptance suite","Authentication/recovery acceptance characterization","Auth source rows and Phase 4 register","None","No security semantics inferred beyond evidence"
"PSC-017","FIRMA/settings/configuration","functional/data","firma_podaci_table.dart; podesavanja feature; app config","Current SOURCE and owner decision docs","Settings and firm data mixed with feature UI","Phase 1","DOCUMENTED","Settings authority","RECONCILED","Phase 2 state","TARGET MAPPED","Phase 3 feature blocks","COVERED","Source/table/config rows","CLOSED — EVIDENCE VERIFIED","FUNCTIONAL COVERAGE","CLOSED — EVIDENCE VERIFIED","None","None","Retain mapping; characterize only if migration touches it","Future migration wave","Inventory and target mapping","None","No business changes made"
"PSC-018","Database schema/migrations/seed/repair/recovery","data/recovery","database.dart; schema_recovery.dart; migration selector; tables; reports","Canonical DB policy/recovery docs","Schema v27 and recovery paths are concentrated","Phase 1","DOCUMENTED","DB policy","RECONCILED","Phase 2 roadmap","TARGET INFRASTRUCTURE","Phase 3 target architecture","DEFECT PROVEN ? CURRENT-TIP REFERENTIAL-INTEGRITY VIOLATION; CORRECTION IMPLEMENTED","Canonical SHA-256 8A69AE0EA873EA8B994A882F83D0A49171AA58723E8CA1279BCDFD66EB99BCBB; focused correction suite 3/3 PASS; disposable startup repair removes 34 provenance + 2 snapshot orphans while preserving live rows and parents; migration/recovery 40/40 PASS; analyzer no issues; full suite 422 passed/10 skipped; Windows and Android release builds PASS; schema v27/integrity ok","CLOSED ? FULL ACCEPTANCE PASS","REFERENTIAL-INTEGRITY CORRECTION","CLOSED ? EVIDENCE VERIFIED","None for RR-005 correction; broader database/recovery characterization remains separately controlled","None","Retain correction regression coverage and revalidate at future release boundaries","None ? RR-005 correction closed","Focused 3/3 PASS; disposable targeted findings 36?0; valid rows/parents preserved; migration/recovery 40/40 PASS; analyzer/full suite/Windows/Android PASS; canonical SHA unchanged","None","No schema or migration changes authorized; RR-005 correction fully accepted. Broader JSON/database/recovery successors remain separate."
"PSC-019","JSON export/import and interoperability","compatibility","json_export_import.dart; export_utils.dart; json_transfer/**; scenario_transfer_envelope.dart; tests","Phase 3 interoperability contracts; Phase 4 JSON forensic report","Monolithic JSON path carries compatibility obligations","Phase 1","DOCUMENTED","Transfer/backup docs","RECONCILED","Phase 2 synchronization","BOUNDARY DEFINED","Phase 3 contracts","PARTIAL REWRITE CANDIDATE","Schema/version/provenance/error/round-trip characterization remains partial","OPEN — SUCCESSOR ASSIGNED","CRITICAL COMPATIBILITY CHARACTERIZATION","OPEN — FORWARD ACTION","Build versioned JSON fixtures and round-trip parity harness","Owner/product acceptance for external interchange semantics","Complete JSON compatibility characterization before split/rewrite","JSON interoperability characterization","JSON forensic report, contract matrix, source/test rows","None","No recode or rewrite performed"
"PSC-020","Test characterization and acceptance obligations","quality","test/**/*.dart; characterization reports; runtime acceptance reports","Engineering Profile and Phase 4 characterization register","Coverage exists but not every migration seam has proof","Phase 1","TEST BASELINE","Phase 1 docs","RECONCILED","Phase 2 coverage","TARGET MAPPED","Phase 3 test architecture","FOCUSED WAVE EXECUTED — BROADER SEAMS OPEN","31 focused tests passed; no test source added; analyzer timed out; migration suite inconclusive","OPEN — SUCCESSOR ASSIGNED","TEST GAP","OPEN — FORWARD ACTION","Uncharacterized migration/release seams and runtime/platform acceptance","None","Map each remaining seam to executable evidence; preserve inconclusive successors","Seam-specific characterization and acceptance wave","71-test inventory + 31 focused passing results + gap register","None","No production test edits in this task"
"PSC-021","Windows light/dark closure propagation","platform","Windows runtime reports; platform files; pseudocode views","Phase 2 current-reality reconciliation","Windows light/dark once open in older docs","Phase 1","HISTORICAL OPEN","Older runtime reports","CLOSED","Phase 2 closure","CLOSED","Phase 3 target boundary","CLOSED","Phase 4 no active view presents open","CLOSED — SUPERSEDED OLD ROADMAP STATE","SUPERSEDED","CLOSED — EVIDENCE VERIFIED","None","None","Keep closed status in future reconciliations","Future phase intake","Phase 2 report and pseudocode synchronization headers","Phase 2 closure","Do not reopen from stale prose"
"PSC-022","Pseudocode continuity / logical-functional visibility","continuity","INTERNAL_DEVELOPMENT_CONTROL/PSEUDOCODE/**; docs/OPC_PSEUDOCODE_INDEX_FOR_LOGOS.md","Owner-approved Logos meaning; Phase 2 synchronization baseline 621c70f8d4820042e40a15f3d44187703092db3e","Views were moved and then synchronized","Phase 1","SEPARATED","Phase 1 pseudocode boundary","SYNCHRONIZED","14 views classified","TARGET VISIBILITY LAYER","Phase 3 target responsibilities","SYNCHRONIZED WITH STATUS","Current/historical boundaries and deltas recorded","CLOSED — EVIDENCE VERIFIED","PSEUDOCODE CONTROL","CLOSED — EVIDENCE VERIFIED","None","None","Verify status header and hash register each phase","Future phase intake","Pseudocode index, status headers, hash evidence","None","Not final product documentation/specification"
"PSC-023","Current dependency graph and direction","architecture","docs/OPC_PHASE4_CURRENT_DEPENDENCY_GRAPH_MATRIX.md; import scan","Phase 3 target architecture; Phase 4 source scan","Direct dependencies/cycles required evidence","Phase 1","DOCUMENTED","Phase 1 architecture","RECONCILED","Phase 2 current reality","TARGET DIRECTION","Phase 3 graph/contracts","VERIFIED","Static import aggregation and caveats recorded","CLOSED — EVIDENCE VERIFIED","ARCHITECTURE EVIDENCE","CLOSED — EVIDENCE VERIFIED","Runtime dynamic edges","None","Re-run import aggregation before migration waves","Future migration wave","Graph matrix with direct-edge evidence","None","No unsupported reverse cycle claims"
"PSC-024","Phase 4 intervention classification revalidation","forensic","docs/OPC_PHASE4_INTERVENTION_DECISION_MATRIX.md; all source rows","Phase 4 evidence and Phase 3 target mapping","Interventions were classified before completeness inventory","Phase 1","N/A","Phase 1 precedes intervention","N/A","Phase 2 precedes intervention","BASELINE","Phase 3 current→target matrix","REVALIDATED","Every row checked against source/target/inventory evidence","CLOSED — EVIDENCE VERIFIED","FORENSIC CONTROL","CLOSED — EVIDENCE VERIFIED","Characterization for recode/rewrite","None","Maintain classification evidence when a phase changes scope","Future migration wave","Revalidation matrix and inventory references","None","No deletion/recode/rewrite executed"
"PSC-025","export_utils_replacement.dart proven-dead candidate","dead-code","lib/core/utils/export_utils_replacement.dart; repo-wide references; git history","Phase 4 dead-code register; source/test/platform scan","One-line placeholder; no consumers found","Phase 1","UNCLASSIFIED","No authoritative closure","BASELINE","No current consumer evidence","TARGET MAPPED","Phase 3 utils target","PROVEN DEAD — NOT REMOVED","Global source/test/tool/platform search and history checked","PROVEN DEAD — REMOVAL NOT EXECUTED","DEAD-CODE FORENSIC","CLOSED — EVIDENCE VERIFIED","Explicit removal authorization","None","Retain candidate until separately authorized removal task","Future cleanup task","Phase 4 dead-code register + global search evidence","None","Do not delete during completeness control"
"PSC-026","Supersession chain integrity","governance","Phase 1–4 reports; manifests; current-state and target docs","Current manifest and phase reports","Older documents use stale authority wording","Phase 1","MANIFESTED","Phase 1 authority manifest","SUPERSESSION MAP","Phase 2 reconciliation","TARGET AUTHORITY","Phase 3 target architecture","CHAIN VERIFIED","Each superseded state names successor","CLOSED — EVIDENCE VERIFIED","SUPERSESSION CONTROL","CLOSED — EVIDENCE VERIFIED","None","None","Update successor links when new phase is accepted","Future phase closure","Supersession chain artifact","None","Reference alone is not coverage evidence"
"PSC-027","Pre-Phase roadmap/current-state items","roadmap","docs/OPC_CURRENT_DEVELOPMENT_STATE.md; Phase 2 reconciliation; older reports","Phase 2 current-reality reconciliation","Old future/open claims persist in historical docs","Phase 1","ARCHIVED/SUPPORTING","Phase 1 archive classification","CLOSED","Phase 2 reconciliation","CLOSED","Phase 3 mapping","CLOSED — SUPERSEDED OLD ROADMAP STATE","Phase 2 successor citations","CLOSED — SUPERSEDED OLD ROADMAP STATE","ROADMAP CONTROL","CLOSED — EVIDENCE VERIFIED","None","None","Treat old state as historical unless successor absent","Future phase intake","Roadmap reconciliation and current-state document","Phase 2 reconciliation","No deletion of historical evidence"
"PSC-028","PODSETNIK signal taxonomy and business meaning","authority","PODSETNIK pseudocode; Phase 3 data ownership matrix; reminder source","Owner/business authority boundary","Derived state boundary known; signal meaning unresolved","Phase 1","SUPPORTING","Reminder docs","RECONCILED","Phase 2 pseudocode","PROVISIONAL BOUNDARY","Phase 3 ownership decision","OWNER-GATED","No technical evidence can decide taxonomy","OWNER-GATED — SUCCESSOR ASSIGNED","OWNER GATE","OPEN — FORWARD ACTION","Obtain owner decision on taxonomy/business meaning","Owner/business authority","Record decision before semantic implementation","Owner decision task","Phase 3 ownership matrix and ledger row","None","Owner is not technical decision-maker"
"PSC-029","Phase 3 logical-to-physical mapping","architecture","docs/OPC_PHASE3_TARGET_*; target tree; contracts","Accepted Phase 3 design","All logical blocks need explicit physical home","Phase 1","DOCUMENTED","Phase 1 authority","RECONCILED","Phase 2 roadmap","MAPPED","Phase 3 corrected architecture","VERIFIED","Policy/finance, interoperability and test support corrections incorporated","CLOSED — EVIDENCE VERIFIED","ARCHITECTURE CONTROL","CLOSED — EVIDENCE VERIFIED","Implementation sequencing","None","Use target mapping as migration prerequisite","Future migration wave","Eight Phase 3 docs and consistency checks","None","Design only; no physical restructure"
"PSC-030","ORPHAN scan","gap-scan","All ledger rows and inventories","Completeness control task","No stable orphan scan existed","Phase 1","NOT PRESENT","No control","NOT PRESENT","No control","CANDIDATE","Phase 3 ADRs","ZERO ORPHANS","Every detected concern assigned a ledger ID and successor","CLOSED — EVIDENCE VERIFIED","ORPHAN SCAN","CLOSED — EVIDENCE VERIFIED","None","None","Repeat scan at each closure","Future phase closure","Ledger cross-check and orphan report","None","Re-run against enriched file-level inventory; zero unassigned orphans."
"PSC-031","COVERAGE GAP scan","gap-scan","Source/test/platform inventories and depth checks","Completeness control task","Module labels previously masked sub-responsibilities","Phase 1","PARTIAL","Authority docs","PARTIAL","Phase 2 coverage","PARTIAL","Phase 3 matrices","CONTROLLED GAPS ASSIGNED","PARTE/KATALOG/STANJE ROBE and seam gaps have successors","OPEN — SUCCESSOR ASSIGNED","COVERAGE GAP","OPEN — FORWARD ACTION","Execute PARTE, KATALOG, STANJE ROBE and mixed-seam depth characterization","None","Close only with sub-responsibility evidence","PARTE, KATALOG, STANJE ROBE and mixed-seam depth characterization","Inventory + functional matrix + ledger","None","Controlled gap is not orphan"
"PSC-032","DEPENDENCY GAP scan","gap-scan","Dependency graph; compatibility register","Phase 3 contracts and Phase 4 graph","Dynamic/runtime edges not proven statically","Phase 1","PARTIAL","Architecture reports","PARTIAL","Phase 2 graph","VERIFIED STATIC EDGES","Phase 3/4 graph","CONTROLLED RUNTIME GAPS","Dynamic edges and release rehearsal assigned","OPEN — SUCCESSOR ASSIGNED","DEPENDENCY GAP","OPEN — FORWARD ACTION","Validate runtime dependency edges during migration rehearsal","None","Run runtime graph/contract checks before implementation","Runtime dependency/contract rehearsal","Dependency graph matrix + contract matrix","None","No unsupported cycle claims"
"PSC-033","CLOSURE GAP scan","gap-scan","Phase reports, runtime acceptance, current state","Closure reports and acceptance artifacts","Report references were sometimes mistaken for proof","Phase 1","PARTIAL","Phase 1 audit","PARTIAL","Phase 2 report","PARTIAL","Phase 3 design","CONTROLLED CLOSURE GAPS","Acceptance and characterization proof assigned per seam","OPEN — SUCCESSOR ASSIGNED","CLOSURE GAP","OPEN — FORWARD ACTION","Attach executable/runtime proof for open seams","None","Require proof artifact before closure state changes","Executable/runtime closure-proof acceptance","Ledger closure-proof column and Phase 4 registers","None","Reference-only evidence is not closure proof"
"PSC-034","MIGRATION GAP scan","gap-scan","Phase 3 migration matrix; Phase 4 sequence and compatibility register","Phase 4 migration prerequisite sequence","Target mapping exists; migration ordering/rehearsal incomplete","Phase 1","N/A","Before target design","N/A","Before target design","MAPPED","Phase 3 current→target matrix","CONTROLLED MIGRATION GAPS","Prerequisite graph identifies waves and gates","OPEN — SUCCESSOR ASSIGNED","MIGRATION GAP","OPEN — FORWARD ACTION","Execute migration prerequisite characterization and rehearsal","Owner gate for restore/release semantics","Produce migration rehearsal evidence before implementation","Migration prerequisite characterization and rehearsal","Phase 4 sequence and ledger","None","No physical changes now"
"PSC-035","TEST GAP scan","gap-scan","test inventory; characterization register","Engineering Profile; Phase 4 characterization","71 tests inventoried but seam proof is incomplete","Phase 1","BASELINE","Phase 1 docs","BASELINE","Phase 2 matrix","MAPPED","Phase 3 test architecture","FOCUSED WAVE RECORDED — CONTROLLED TEST GAPS REMAIN","31 focused tests passed; no test source added; analyzer INCONCLUSIVE timeout; migration/recovery INCONCLUSIVE","OPEN — SUCCESSOR ASSIGNED","TEST GAP","OPEN — FORWARD ACTION","Create seam-specific tests/fixtures for remaining migration, release and platform gaps","None","Close only with executable evidence; retain bounded successors for inconclusive outcomes","Seam-specific characterization and acceptance wave","Characterization gap register + 71-test inventory + focused evidence","None","No test edits authorized here"
"PSC-036","Phase 4 publication/closure gate","release-governance","Phase 4 docs and this review package","Owner-approved task and Logos review gate","Phase 4 artifacts are local/unpublished","Phase 1","N/A","Phase 4 not started","N/A","Phase 4 not started","N/A","Phase 4 not started","PUBLISHED — LOGOS REVIEW PASS","Accepted review ZIP AD9B75189BF3D5A446A7984586AD9CC8FC6C98C4B5997F5D8C0AB616A4A0C227; publication commit 0aada93c8090e6dd075a656b7ea60cad7376e986","CLOSED — EVIDENCE VERIFIED","REVIEW GATE","CLOSED — EVIDENCE VERIFIED","None","None","Maintain publication boundary and repeat at next full continuity intake","Next FULL POST-SCENARIO CONTINUITY INTAKE","Accepted review package, commit and remote parity verified","None","Publication gate completed; review-only artifacts remain local/ignored; no authority redesign"
"PSC-037","Runtime/release acceptance","quality/release","Android/Windows runtime reports; build scripts; tests","Release and runtime acceptance reports","Build/runtime evidence exists but future migration acceptance remains","Phase 1","DOCUMENTED","Runtime reports","RECONCILED","Phase 2 Windows closure","TARGET MAPPED","Phase 3 release boundary","IMPLEMENTED — RUNTIME/QA ACCEPTANCE PENDING","Native mutex guard implemented before Flutter/Dart/database bootstrap; W1/W2/W3/W4/W5 second-launch and normal-release evidence PASS; W6 disposable integrity PASS; exact analyzer reports no issues; exact full suite passes 419 tests; earlier apparent hang characterized as slow historical-schema migration","CLOSED — EVIDENCE VERIFIED","RELEASE ACCEPTANCE","CLOSED — EVIDENCE VERIFIED","None — singleton analyzer/full-test gates complete","Owner/product release authority","No singleton-specific action remains; remaining release/migration work is tracked separately","Cross-platform release and restore acceptance rehearsal","Release-risk report, matrices, decision register, QA evidence and safe-copy hash evidence","None","No platform changes in completeness task"
