"exact_path","source_location","current_status","primary_information_purpose","ownership","unique_current_knowledge","conflicting_knowledge","newer_authority_or_superseding_home","target_information_home","proposed_disposition","owner_decision_required","migration_verification_status","classification_basis","authority_class","current_authority_home","target_section_topic","migration_evidence","review_required_reason"
"windows/CMakeLists.txt","GIT","CURRENT SUPPORTING EVIDENCE","Windows native build configuration","Platform/release infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"windows/flutter/CMakeLists.txt","GIT","CURRENT SUPPORTING EVIDENCE","Windows Flutter build configuration","Platform/release infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"windows/runner/CMakeLists.txt","GIT","CURRENT SUPPORTING EVIDENCE","Windows runner build configuration","Platform/release infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/ARCHITECTURE_OVERVIEW.md","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/full_flutter_test.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/full_flutter_test_retry.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/full_flutter_test_temp_fix.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/OPC_IRIU_DISPLAY_ORDER_LIFECYCLE_FORENSIC_AUDIT_EVIDENCE.json","GIT","HISTORICAL EVIDENCE","Scoped report, audit, decision or incident evidence","Historical/owner/technical evidence","NO","NO","Phase 1 current authority homes and current supporting evidence","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md; historical Git/local evidence","ARCHIVE","NO","VERIFIED â€” HISTORICAL; TARGET/ARCHIVE IDENTIFIED","Historical or superseded material; no current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Archive classification; preserve historical provenance","Manifest identifies the surviving authority home or historical evidence location; no deletion authorized by this correction","NONE â€” not current authority"
"docs/artifacts/OPC_IRIU_PRODUCTION_TEST_ORDERING_DISCREPANCY_EVIDENCE.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/OPC_IRIU_SHARED_DERIVED_ORDERING_IMPLEMENTATION_EVIDENCE.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/OPC_LUNA_CLEAN_BACKUP_MANIFEST.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/OPC_LUNA_PREDMET_SEMANTIC_COMPARISON.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/OPC_LUNA_RECOVERY_LEDGER_SUMMARY.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/OPC_OVERNIGHT_POST_RECOVERY_STABILIZATION_EVIDENCE.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/OPC_POST_RECOVERY_FORENSIC_AUDIT_EVIDENCE.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/artifacts/OPC_TEMP_MEDIA_TEST_FIX_FULL_SUITE_FINAL_BUILDS_EVIDENCE.json","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/artifacts/OPC_WINDOWS_CANONICAL_RUNTIME_STARTUP_MUTATION_EVIDENCE.json","GIT","CURRENT SUPPORTING EVIDENCE","Current domain/architecture/technical/recovery evidence","Domain/architecture/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/GIT_WORKFLOW_ARC.md","GIT","HISTORICAL / EXTERNAL LAYER 3 PROVENANCE","Reusable workflow method plus OPC-specific project controls","Internal governance","YES","NO","Original preserved externally with SHA; OPC-specific controls are reconciled into the compact homes","External know-how path recorded in the Layer 3 provenance map","EXTRACT EXTERNAL","NO","VERIFIED — EXTERNAL PROVENANCE","Reusable Layer 3 method removed from SOURCE; historical original preserved externally","HISTORICAL / EXTERNAL LAYER 3 PROVENANCE","INTERNAL_DEVELOPMENT_CONTROL/KNOW_HOW/GIT_WORKFLOW_ARC.md.SOURCE_ORIGINAL","OPC-specific controls are represented in OPC_DEVELOPMENT, OPC_QUALITY_RELEASE, OPC_ENGINEERING_PROFILE and the manifest","Original SOURCE path removed after provenance capture","LAYER 3 EXTRACTION — NO LOSS"
"docs/LOGOS_ACCESS_TEST.md","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/OPC_ANDROID_REAL_DEVICE_STARTUP_RUNTIME_ACCEPTANCE_REPORT.md","GIT","HISTORICAL EVIDENCE","Scoped report, audit, decision or incident evidence","Historical/owner/technical evidence","NO","NO","Phase 1 current authority homes and current supporting evidence","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md; historical Git/local evidence","ARCHIVE","NO","VERIFIED â€” HISTORICAL; TARGET/ARCHIVE IDENTIFIED","Historical or superseded material; no current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Archive classification; preserve historical provenance","Manifest identifies the surviving authority home or historical evidence location; no deletion authorized by this correction","NONE â€” not current authority"
"docs/OPC_ANDROID_RELEASE_BUILD_RESOLUTION_REPORT.md","GIT","HISTORICAL EVIDENCE","Scoped report, audit, decision or incident evidence","Historical/owner/technical evidence","NO","NO","Phase 1 current authority homes and current supporting evidence","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md; historical Git/local evidence","ARCHIVE","NO","VERIFIED â€” HISTORICAL; TARGET/ARCHIVE IDENTIFIED","Historical or superseded material; no current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Archive classification; preserve historical provenance","Manifest identifies the surviving authority home or historical evidence location; no deletion authorized by this correction","NONE â€” not current authority"
"docs/OPC_ARCHITECTURE.md","GIT","CURRENT AUTHORITY HOME","Phase 1 current-state/authority information home","Product/engineering documentation","YES","NO","Self â€” operative compact current-state home","docs/OPC_ARCHITECTURE.md","RETAIN","NO","VERIFIED â€” CURRENT AUTHORITY HOME","Compact current-state reading surface adopted by Phase 1 Closure Correction","CURRENT AUTHORITY HOME","docs/OPC_ARCHITECTURE.md","Sections 1-10: current architecture, deployment, flows and risks","Path exists; README/source-map navigation and final link check identify this as the operative home","NONE â€” current authority home"
"docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","GIT","CURRENT SUPPORTING EVIDENCE","Current authority, governance, roadmap or lock control","Owner/project governance","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN_DRAFT.md","GIT","SUPERSEDED","Current authority, governance, roadmap or lock control","Owner/project governance","NO","NO","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md; history remains in Git","ARCHIVE â€” SUPERSEDED DRAFT","NO","VERIFIED â€” OPERATIVE PLAN IDENTIFIED; HISTORY RETAINED","Draft/revised/final-candidate generation is not co-equal with the adopted operative plan","SUPERSEDED","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","Current operative dependency plan; draft lineage retained as history","Current operative plan is named explicitly; draft path is retained only for chronology and traceability","NONE â€” superseded generation, no owner approval needed for classification"
"docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN_FINAL_CANDIDATE.md","GIT","SUPERSEDED","Current authority, governance, roadmap or lock control","Owner/project governance","NO","NO","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md; history remains in Git","ARCHIVE â€” SUPERSEDED DRAFT","NO","VERIFIED â€” OPERATIVE PLAN IDENTIFIED; HISTORY RETAINED","Draft/revised/final-candidate generation is not co-equal with the adopted operative plan","SUPERSEDED","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","Current operative dependency plan; draft lineage retained as history","Current operative plan is named explicitly; draft path is retained only for chronology and traceability","NONE â€” superseded generation, no owner approval needed for classification"
"docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN_REVISED_DRAFT.md","GIT","SUPERSEDED","Current authority, governance, roadmap or lock control","Owner/project governance","NO","NO","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md; history remains in Git","ARCHIVE â€” SUPERSEDED DRAFT","NO","VERIFIED â€” OPERATIVE PLAN IDENTIFIED; HISTORY RETAINED","Draft/revised/final-candidate generation is not co-equal with the adopted operative plan","SUPERSEDED","docs/OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","Current operative dependency plan; draft lineage retained as history","Current operative plan is named explicitly; draft path is retained only for chronology and traceability","NONE â€” superseded generation, no owner approval needed for classification"
"docs/OPC_AUTHORITATIVE_DEVELOPMENT_PLAN_OWNER_REVIEW_FINDINGS.md","GIT","HISTORICAL EVIDENCE","Source-learning, supporting or project documentation","Technical/domain/governance evidence","NO","NO","Phase 1 compact homes and current supporting evidence","Archive after knowledge check; preserve Git history and exact evidence path","ARCHIVE â€” SOURCE-LEARNING","NO","VERIFIED â€” NOT CURRENT AUTHORITY; ARCHIVE TARGET IDENTIFIED","Source-learning artifact without a current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Historical/source-learning evidence; consult only for scoped provenance","No current authority claim retained; path and provenance remain available for scoped forensic review","NONE â€” no owner decision for ordinary source-learning classification"
"docs/OPC_AUTHORITATIVE_DEVELOPMENT_PLAN_OWNER_REVIEW_PREPARATION_REPORT.md","GIT","HISTORICAL EVIDENCE","Scoped report, audit, decision or incident evidence","Historical/owner/technical evidence","NO","NO","Phase 1 current authority homes and current supporting evidence","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md; historical Git/local evidence","ARCHIVE","NO","VERIFIED â€” HISTORICAL; TARGET/ARCHIVE IDENTIFIED","Historical or superseded material; no current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Archive classification; preserve historical provenance","Manifest identifies the surviving authority home or historical evidence location; no deletion authorized by this correction","NONE â€” not current authority"
"docs/OPC_AUTHORITATIVE_DEVELOPMENT_PLAN_REVISION_REPORT.md","GIT","HISTORICAL EVIDENCE","Scoped report, audit, decision or incident evidence","Historical/owner/technical evidence","NO","NO","Phase 1 current authority homes and current supporting evidence","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md; historical Git/local evidence","ARCHIVE","NO","VERIFIED â€” HISTORICAL; TARGET/ARCHIVE IDENTIFIED","Historical or superseded material; no current authority role","HISTORICAL EVIDENCE","docs/OPC_PHASE1_ARCHIVE_AND_INTERNAL_GOVERNANCE_CLASSIFICATION.md","Archive classification; preserve historical provenance","Manifest identifies the surviving authority home or historical evidence location; no deletion authorized by this correction","NONE â€” not current authority"
"docs/OPC_AUTHORITATIVE_PLAN_REALITY_RECONCILIATION_REPORT.md","GIT","CURRENT SUPPORTING EVIDENCE","Current authority, governance, roadmap or lock control","Owner/project governance","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
